168.53,0,21.72,23.78,28.15,30.33,33.53,44.94,59.94,94.38
"CDMX Doméstica Popular 2020",1,2,1,0,0,0,0.16,"MXN",2020,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
44.94,44.94,64.39,126.09,252.09,435.89,983.0900000000001,1677.0900000000001,3475.29,0
44.94,0,3.89,6.17,12.6,18.38,27.36,34.7,59.94,94.38
"CDMX No Doméstica 2020",1,2,1,0,0,0,0.16,"MXN",2020,0,"ok",-1
0,10,20,30,50,70,90,120,1000
516.81,516.81,861.41,1385.71,2434.31,3482.91,4591.51,6434.110000000001,0
516.81,0,34.46,52.43,52.43,52.43,55.43,61.42,94.38
"CDMX Doméstica Alta 2021",1,2,1,0,0,0,0.16,"MXN",2021,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
208.98,208.98,326.58,589.58,901.6800000000001,1235.0800000000002,1949.2800000000002,2878.28,4736.48,0
208.98,0,23.52,26.3,31.21,33.34,35.71,46.45,61.94,97.53
"CDMX Doméstica Baja 2021",1,2,1,0,0,0,0.16,"MXN",2021,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
52.64,52.64,97.54,218.44,389.74,630.14,1238.14,1981.94,3840.14,0
52.64,0,8.98,12.09,17.13,24.04,30.4,37.19,61.94,97.53
"CDMX Doméstica Media 2021",1,2,1,0,0,0,0.16,"MXN",2021,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
174.16,174.16,286.40999999999997,532.11,823.0099999999999,1136.51,1829.51,2758.5099999999998,4616.709999999999,0
174.16,0,22.45,24.57,29.09,31.35,34.65,46.45,61.94,97.53
"CDMX Doméstica Popular 2021",1,2,1,0,0,0,0.16,"MXN",2021,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
46.44,46.44,66.53999999999999,130.33999999999997,260.53999999999996,450.43999999999994,1016.04,1733.24,3591.44,0
46.44,0,4.02,6.38,13.02,18.99,28.28,35.86,61.94,97.53
"CDMX No Doméstica 2021",1,2,1,0,0,0,0.16,"MXN",2021,0,"ok",-1
0,10,20,30,50,70,90,120,1000
534.07,534.07,890.1700000000001,1431.97,2515.57,3599.17,4744.7699999999995,6648.869999999999,0
534.07,0,35.61,54.18,54.18,54.18,57.28,63.47,97.53
"CDMX Doméstica Alta 2022",1,2,1,0,0,0,0.16,"MXN",2022,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
219.43,219.43,342.93,619.03,946.73,1296.8300000000002,2046.8300000000002,3022.23,4973.7300000000005,0
219.43,0,24.7,27.61,32.77,35.01,37.5,48.77,65.05,102.41
"CDMX Doméstica Baja 2022",1,2,1,0,0,0,0.16,"MXN",2022,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
55.27,55.27,102.42,229.32,409.2199999999999,661.6199999999999,1300.02,2081.02,4032.52,0
55.27,0,9.43,12.69,17.99,25.24,31.92,39.05,65.05,102.41
"CDMX Doméstica Media 2022",1,2,1,0,0,0,0.16,"MXN",2022,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
